id,matchId,teamId,card,personType,personName,shirtNumber,minute,role,sanction,status,note
w1-m1-d1,w1-m1,photha,yellow,player,ธวัชชัย สระคำ,9,60,,,,
w1-m3-d1,w1-m3,sathit_city,yellow,player,สุวิชา อรัญมิ่ง,19,35,,,,
w1-m4-d1,w1-m4,sarasit,yellow,player,บุญฤทธิ์ กุรุพินท์พาณิชย์,3,74,,,,
w2-m1-d1,w2-m1,jombueng,yellow,player,ศิววิชญ์ สุดใจ,19,,,,,
w2-m2-d1,w2-m2,ratchabori,yellow,player,ธนัช สีเพชร,10,16,,,,
w2-m2-d2,w2-m2,ratrat,yellow,player,ณธกร บุณศรีสกุล,15,37,,,,
w2-m2-d3,w2-m2,ratrat,yellow,player,อลัน โตอัน อิโลอินา,7,49,,,,
w2-m2-d4,w2-m2,ratrat,yellow,player,วริท รุ่งเรือง,25,55,,,,วีก 2 ใช้หมายเลข 25
w2-m3-d1,w2-m3,sarasit,yellow,player,ภคณัฐ คงทรัพย์,8,18,,,,
w2-m3-d2,w2-m3,sarasit,yellow,player,บุญฤทธิ์ กุรุพินท์พาณิชย์,3,45+1,,,,
w2-m3-d3,w2-m3,sarasit,yellow,player,อฐิชานนท์ ดงภูธร,2,76,,,,
w2-m3-d4,w2-m3,sathit_city,yellow,player,ณัฐนันท์ จันทร์กลับ,13,,,,,
w2-m3-d5,w2-m3,sathit_city,yellow,player,นรากร เผือกอุดม,25,,,,,
w2-m3-d6,w2-m3,sathit_city,yellow,player,ภูริช ชื่นบุญเพิ่ม,9,,,,,
w2-m3-d7,w2-m3,sathit_city,red,staff,ธนภัทร ยอดปลอบ,,,หัวหน้าผู้ฝึกสอน,แบน 1 นัด,service_status_not_explicitly_confirmed,
w2-m4-d1,w2-m4,daruna,yellow,player,ธีรวัฒน์ เส็งสาลี,10,,,,,
w2-m4-d2,w2-m4,daruna,yellow,player,จิรภัทร วารุน,7,,,,,
w2-m4-d3,w2-m4,daruna,yellow,player,คุณากร กิจประยูร,28,,,,,รายการเดิมเคยระบุเบอร์ 25 ก่อนแก้เป็นเบอร์ 28
w2-m4-d4,w2-m4,benjama,yellow,player,นภัสกรณ์ นาคนวล,4,,,,,
w2-m4-d5,w2-m4,benjama,yellow,player,ชัยภัทร พยนต์ศิริ,6,,,,,
w3-m1-d1,w3-m1,sathit_city,yellow,player,นรากร เผือกอุดม,25,70,,,,
w3-m2-d1,w3-m2,sarasit,yellow,player,ปวิชญา เกียรติบุญญาฤทธิ์,19,59,,,,
w3-m2-d2,w3-m2,photha,yellow,player,ทินภัทร ศรีสุข,8,63,,,,
w3-m2-d3,w3-m2,photha,yellow,player,กันต์พงษ์ แก้วบูชา,2,79,,,,
w3-m2-d4,w3-m2,sarasit,yellow,player,นวพรรษ มณีวงศ์,26,90+3,,,,
w3-m3-d1,w3-m3,ratrat,yellow,player,ธนกฤติ สุดสังข์,29,26,,,,
w3-m3-d2,w3-m3,daruna,yellow,player,จิรทิปต์ อินวารี,16,55,,,,
w3-m4-d1,w3-m4,jombueng,yellow,player,ปุณณภพ ทับซ้อน,3,11,,,,
w3-m4-d2,w3-m4,benjama,yellow,player,สันติภาพ,3,47,,,,
w4-m1-d1,w4-m1,jombueng,yellow,player,วชิรวิทย์ พลธี,2,90+1,,,,
w4-m2-d1,w4-m2,daruna,yellow,player,จิรภัทร วารุน,7,36,,,,
w4-m2-d2,w4-m2,daruna,yellow,player,ชลชิต ศิริวรรณ์,11,38,,,,
w4-m2-d3,w4-m2,daruna,yellow,staff,ไม่ทราบชื่อ,,40,,,identity_pending,
w4-m2-d4,w4-m2,sathit_city,yellow,player,ภูริช ชื่นบุญเพิ่ม,9,49,,,,
w4-m2-d5,w4-m2,sathit_city,yellow,player,สุวิชา อรัญมิ่ง,19,49,,,,
w4-m2-d6,w4-m2,daruna,yellow,player,ชลนภัตร มังคลากุล,8,51,,,,
w4-m2-d7,w4-m2,sathit_city,red,player,ปฐวี แสงเกต,15,71,,รอฝ่ายจัดยืนยันจำนวนเกมแบน,pending_decision,
w4-m2-d8,w4-m2,daruna,yellow,player,กาก้า สระทองคำ,30,81,,,,
w4-m3-d1,w4-m3,benjama,yellow,player,พลธวัฒน์ ตินพ,8,24,,,,
w4-m3-d2,w4-m3,ratrat,yellow,player,ติณภัทร ชวนอยู่,10,27,,,,
w4-m3-d3,w4-m3,ratrat,yellow,player,วริท รุ่งเรือง,12,33,,,,ยืนยันว่าเป็นคนเดียวกับวริท เบอร์ 25 ในวีก 2
w4-m3-d4,w4-m3,benjama,yellow,player,นภัสกรณ์ นาคนวล,4,55,,,,
w4-m3-d5,w4-m3,benjama,yellow,player,พัชรวัฒน์ ศรีโยธิน,13,72,,,,
w4-m3-d6,w4-m3,benjama,yellow,player,กรวิชญ์ สระศรี,5,81,,,,
w4-m3-d7,w4-m3,benjama,yellow,player,ศุภกานต์ แก่นกุล,14,90+2,,,,
w4-m3-d8,w4-m3,benjama,yellow,player,พศิน บรรเจิดจรัสเลิศ,9,90+5,,,,
w4-m4-d1,w4-m4,photha,yellow,player,ทินภัทร ศรีสุข,8,81,,,,
w4-m4-d2,w4-m4,ratchabori,yellow,player,ปธานิน สุทธิ,1,84,,,,
w4-m4-d3,w4-m4,ratchabori,yellow,player,ศุภกร คงน้อย,3,90+8,,,,
